;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kurva CP;(Multiple Items);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kurva Remaining;(All);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moth Program;(All);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Count of Site ID Actual;;Vendor;General Status;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;EID;;EID Total;HWI;;HWI Total;Grand Total;;;;;;;;;;;;;;Update;13-Nov-25;EID;;EID Total;HWI;;HWI Total;Grand Total;;Total;Percentage Program;;All;;;
sett#all;Part;Done;NY Done;;Done;NY Done;;;;;;;;;;;;;;;;sett#all;Part;Done;NY Done;;Done;NY Done;;Done;NY Done;;EID;HWI;;;;
;Capacity Upgrade;84;;84;3;;3;87;;;;;;;;;;;;;;;Capacity Upgrade;84;;84;3;;3;87;0;87;100,00%;100,00%;100,00%;;;
CP3 2024 Total;;172;4;176;4;;4;180;;;;;;;;;;;;;;CP3 2024 Total;;172;4;176;4;;4;176;4;180;97,73%;100,00%;97,78%;;;
CP4 2024;New NE;11;1;12;;;;12;;;;;;;;;;;;;;CP4 2024;New NE;11;1;12;;;;11;1;12;91,67%;;91,67%;;;
;Capacity Upgrade;28;4;32;;;;32;;;;;;;;;;;;;;;Capacity Upgrade;28;4;32;;;;28;4;32;87,50%;;87,50%;;;
CP4 2024 Total;;39;5;44;;;;44;;;;;;;;;;;;;;CP4 2024 Total;;39;5;44;;;;39;5;44;88,64%;;88,64%;;;
N3T;New Site;16;3;19;;;;19;;;;;;;;;;;;;;N3T;New Site;16;3;19;;;;16;3;19;84,21%;;84,21%;;;
N3T Total;;16;3;19;;;;19;;;;;;;;;;;;;;N3T Total;;16;3;19;;;;16;3;19;84,21%;;84,21%;;;
CP 5G 2024;New NE;22;;22;;;;22;;;;;;;;;;;;;;CP 5G 2024;New NE;22;;22;;;;22;0;22;100,00%;;100,00%;;;
CP 5G 2024 Total;;22;;22;;;;22;;;;;;;;;;;;;;CP 5G 2024 Total;;22;;22;;;;22;0;22;100,00%;;100,00%;;;
CP1B 2025;New NE;153;11;164;2;;2;166;;;;;;;;;;;;;;CP1B 2025;New NE;153;11;164;2;;2;155;11;166;93,29%;100,00%;93,37%;;;
;Reeng;3;;3;4;;4;7;;;;;;;;;;;;;;;Reeng;3;;3;4;;4;7;0;7;100,00%;100,00%;100,00%;;;
;Capacity Upgrade;186;9;195;10;;10;205;;;;;;;;;;;;;;;Capacity Upgrade;186;9;195;10;;10;196;9;205;95,38%;100,00%;95,61%;;;
CP1B 2025 Total;;342;20;362;16;;16;378;;;;;;;;;;;;;;CP1B 2025 Total;;342;20;362;16;;16;358;20;378;94,48%;100,00%;94,71%;;;
Grand Total;;3733;48;3781;226;3;229;4010;;;;;;;;;;;;;;Grand Total;;3733;48;3781;226;3;229;3959;51;4010;98,73%;98,69%;98,73%;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
